trans_id,fecha,anio,quarter,mes,dia,week,dianame,hhjornada,mmjornada,inith,initm,finh,finm,totalventa,tipodocto,producto,cantidad,precio,costo,discountperc,subtotal,neto,impuesto,total,totalingreso,netoingreso,subtotalingreso,valor,valororigen,monedacmonetaria,descripcion,glosa,tipoproducto,familia,subfamilia,tipo,subtipo,vigente,unidad,procedencia
22,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,BOLETA VENTA FISCAL,126512509,0.805,4780,4017.391,0,3848,3234,614,3234,3234,16744,19926,3498,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA ESPECIAL,CARNES,VACUNO MOLIDA,S,KG,NAC
23,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,AJUSTE T/INVENTARIO,126702531,40,3300,3300,0,132000,132000,0,132000,132000,259100,259100,4098,0,PS,CLIENTE,VACUNO PLATEADA   CAT V  ENTERA NAC,EXISTENCIA,VACUNO,PLATEADA,CARNES,ENTERO,S,KG,NAC
24,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,NOTA VENTA,126762576,5.025,4398,0,0,22100,22100,0,22100,22100,304819,304819,4380,0,PS,CLIENTE,VACUNO POSTA ROSADA MOLIDO 5% MG,EXISTENCIA,VACUNO,POSTA ROSADA,CARNES,VACUNO POSTA ROSADA,S,KG,NAC
25,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,FACT VALE SALON ELEC,126512509,5,4780,2000,0,23900,20084,3816,20084,20084,117572,139911,3998,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA,CARNES,ESPECIAL,S,KG,NAC
26,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,NOTA VENTA,126512508,2.025,4498,2500,0,9108,9108,0,9108,9108,625042,625042,2398,0,PS,CLIENTE,VACUNO MOLIDA CORRIENTE 10 % MG,EXISTENCIA,VACUNO,MOLIDA CORRIENTE,CARNES,VACUNO MOLIDA,S,KG,NAC
27,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,NOTA VENTA,12662365,21.72,5980,0,0,129886,129886,0,129886,129886,304819,304819,5280,0,PS,CLIENTE,VACUNO ASIENTO CAT V ENTERO NAC,EXISTENCIA,VACUNO,ASIENTO,CARNES,ENTERO,S,KG,NAC
28,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,BOLETA VENTA FISCAL,126512509,0.805,4780,4017.391,0,3848,3234,614,3234,3234,16744,19926,3590,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA,CARNES,ESPECIAL,S,KG,NAC
29,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,FACT VENT ST ELEC,122962318,14.81,1898,900,0,28109,28109,0,28109,28109,330035,330035,2298,0,PS,CLIENTE,POLLO TRUTRO ENTERO NAC,EXISTENCIA,POLLO,TRUTRO,CARNES,ENTERO,S,KG,NAC
30,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,NOTA VENTA,126762576,5.025,4398,0,0,22100,22100,0,22100,22100,304819,304819,4380,0,PS,CLIENTE,VACUNO POSTA ROSADA MOLIDO 5% MG,EXISTENCIA,VACUNO,POSTA ROSADA,CARNES,VACUNO POSTA ROSADA,S,KG,NAC
31,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,NOTA VENTA,126522511,37.79,5698,0,0,215327,215327,0,215327,215327,386945,386945,4580,0,PS,CLIENTE,VACUNO MOLLEJA CAT V ENTERO NAC,EXISTENCIA,VACUNO,MOJELLA,CARNES,ENTERO,S,KG,NAC
32,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,NOTA VENTA,126512509,5.06,4980,2000,0,25199,25199,0,25199,25199,759801,759801,4480,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA ESPECIAL,CARNES,VACUNO MOLIDA,S,KG,NAC
33,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,FACT VALE SALON ELEC,126512509,5,4780,2000,0,23900,20084,3816,20084,20084,117572,139911,3998,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA ESPECIAL,CARNES,VACUNO MOLIDA,S,KG,NAC
34,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,BOLETA VENTA FISCAL,126512509,0.805,4780,4017.391,0,3848,3234,614,3234,3234,16744,19926,3590,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA,CARNES,ESPECIAL,S,KG,NAC
35,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,AJUSTE T/INVENTARIO,126702531,40,3300,3300,0,132000,132000,0,132000,132000,259100,259100,4098,0,PS,CLIENTE,VACUNO PLATEADA   CAT V  ENTERA NAC,EXISTENCIA,VACUNO,PLATEADA,CARNES,ENTERO,S,KG,NAC
36,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,NOTA VENTA,126762576,5.025,4398,0,0,22100,22100,0,22100,22100,304819,304819,4380,0,PS,CLIENTE,VACUNO POSTA ROSADA MOLIDO 5% MG,EXISTENCIA,VACUNO,POSTA ROSADA,CARNES,VACUNO POSTA ROSADA,S,KG,NAC
37,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,FACT VENT ST ELEC,122962318,14.81,1898,900,0,28109,28109,0,28109,28109,330035,330035,2298,0,PS,CLIENTE,POLLO TRUTRO ENTERO NAC,EXISTENCIA,POLLO,TRUTRO,CARNES,ENTERO,S,KG,NAC
38,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,NOTA VENTA,126512508,2.025,4498,2500,0,9108,9108,0,9108,9108,625042,625042,2398,0,PS,CLIENTE,VACUNO MOLIDA CORRIENTE 10 % MG,EXISTENCIA,VACUNO,MOLIDA CORRIENTE,CARNES,VACUNO MOLIDA,S,KG,NAC
39,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,FACT VENT ST ELEC,126392455,103.1,1121,300,0,115575,115575,0,115575,115575,115575,115575,1480,0,PS,CLIENTE,VACUNO HUESO PITO CAT V NAC,EXISTENCIA,VACUNO,HUESO,CARNES,PITO,S,KG,NAC
40,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,BOLETA VENTA FISCAL,126512509,0.805,4780,4017.391,0,3848,3234,614,3234,3234,16744,19926,3590,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA ESPECIAL,CARNES,VACUNO MOLIDA,S,KG,NAC
41,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,FACT VALE SALON ELEC,126512509,5,4780,2000,0,23900,20084,3816,20084,20084,117572,139911,3998,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA ESPECIAL,CARNES,VACUNO MOLIDA,S,KG,NAC
42,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,NOTA VENTA,126762576,5.025,4398,0,0,22100,22100,0,22100,22100,304819,304819,4380,0,PS,CLIENTE,VACUNO POSTA ROSADA MOLIDO 5% MG,EXISTENCIA,VACUNO,POSTA ROSADA,CARNES,VACUNO POSTA ROSADA,S,KG,NAC
43,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,NOTA VENTA,126472494,3.915,9298,0,0,36402,36402,0,36402,36402,366713,366713,6980,0,PS,CLIENTE,VACUNO LOMO VETADO CAT V ENTERO IMP,EXISTENCIA,VACUNO,LOMO VETADO,CARNES,ENTERO,S,KG,IMP
44,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,NOTA VENTA,126512509,5.06,4980,2000,0,25199,25199,0,25199,25199,759801,759801,4480,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA,CARNES,ESPECIAL,S,KG,NAC
45,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,FACT VENT ST ELEC,122962318,14.81,1898,900,0,28109,28109,0,28109,28109,330035,330035,2298,0,PS,CLIENTE,POLLO TRUTRO ENTERO NAC,EXISTENCIA,POLLO,TRUTRO,CARNES,ENTERO,S,KG,NAC
46,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,BOLETA VENTA FISCAL,126512509,0.805,4780,4017.391,0,3848,3234,614,3234,3234,16744,19926,3590,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA ESPECIAL,CARNES,VACUNO MOLIDA,S,KG,NAC
47,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,AJUSTE T/INVENTARIO,126702531,40,3300,3300,0,132000,132000,0,132000,132000,259100,259100,4098,0,PS,CLIENTE,VACUNO PLATEADA CAT V  ENTERA NAC,EXISTENCIA,VACUNO,PLATEADA,CARNES,ENTERO,S,KG,NAC
48,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,NOTA VENTA,126762576,5.025,4398,0,0,22100,22100,0,22100,22100,304819,304819,5980,4566,PS,CLIENTE,VACUNO POSTA ROSADA MOLIDO 5% MG,EXISTENCIA,VACUNO,POSTA ROSADA,CARNES,MOLIDA,S,KG,NAC
49,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,FACT VALE SALON ELEC,126512509,5,4780,2000,0,23900,20084,3816,20084,20084,117572,139911,3980,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA ESPECIAL,CARNES,VACUNO MOLIDA,S,KG,NAC
50,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,NOTA VENTA,126512508,2.025,4498,2500,0,9108,9108,0,9108,9108,625042,625042,2398,0,PS,CLIENTE,VACUNO MOLIDA CORRIENTE 10 % MG,EXISTENCIA,VACUNO,MOLIDA CORRIENTE,CARNES,VACUNO MOLIDA,S,KG,NAC
51,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,NOTA VENTA,12662365,21.72,5980,0,0,129886,129886,0,129886,129886,304819,304819,5280,0,PS,CLIENTE,VACUNO ASIENTO CAT V ENTERO NAC,EXISTENCIA,VACUNO,ASIENTO,CARNES,ENTERO,S,KG,NAC
52,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,BOLETA VENTA FISCAL,126512509,0.805,4780,4017.391,0,3848,3234,614,3234,3234,16744,19926,3590,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA ESPECIAL,CARNES,VACUNO MOLIDA,S,KG,NAC
53,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,FACT VENT ST ELEC,122962318,14.81,1898,900,0,28109,28109,0,28109,28109,330035,330035,2298,0,PS,CLIENTE,POLLO TRUTRO ENTERO,EXISTENCIA,POLLO,TRUTRO ENTERO,CARNES,NAC,S,KG,NAC
54,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,NOTA VENTA,126762576,5.025,4398,0,0,22100,22100,0,22100,22100,304819,304819,5980,4566,PS,CLIENTE,VACUNO POSTA ROSADA MOLIDO 5% MG,EXISTENCIA,VACUNO,POSTA ROSADA,CARNES,MOLIDA,S,KG,NAC
55,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,BOLETA VENTA FISCAL,122652298,1.03,3992,3354.369,0,4112,3455,657,3455,3455,32945,39206,2998,2998,PS,CLIENTE,POLLO PECHUGA DESHUESADA,EXISTENCIA,POLLO,PECHUGA DESHUESADA,CARNES,ENTERA,S,KG,NAC
56,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,NOTA VENTA,126512509,5.06,4980,2000,0,25199,25199,0,25199,25199,759801,759801,4480,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA,CARNES,ESPECIAL,S,KG,NAC
57,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,FACT VALE SALON ELEC,126512509,5,4780,2000,0,23900,20084,3816,20084,20084,117572,139911,3980,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA ESPECIAL,CARNES,VACUNO MOLIDA,S,KG,NAC
58,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,BOLETA VENTA FISCAL,126512509,0.805,4780,4017.391,0,3848,3234,614,3234,3234,16744,19926,3590,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA ESPECIAL,CARNES,VACUNO MOLIDA,S,KG,NAC
59,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,AJUSTE T/INVENTARIO,126702531,40,3300,3300,0,132000,132000,0,132000,132000,259100,259100,4098,0,PS,CLIENTE,VACUNO PLATEADA CAT V  ENTERA NAC,EXISTENCIA,VACUNO,PLATEADA,CARNES,ENTERO,S,KG,NAC
60,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,NOTA VENTA,126762576,5.025,4398,0,0,22100,22100,0,22100,22100,304819,304819,5980,4566,PS,CLIENTE,VACUNO POSTA ROSADA MOLIDO 5% MG,EXISTENCIA,VACUNO,POSTA ROSADA,CARNES,VACUNO POSTA ROSADA,S,KG,NAC
61,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,FACT VENT ST ELEC,122962318,14.81,1898,900,0,28109,28109,0,28109,28109,330035,330035,2298,0,PS,CLIENTE,POLLO TRUTRO ENTERO,EXISTENCIA,POLLO,TRUTRO ENTERO,CARNES,NAC,S,KG,NAC
62,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,NOTA VENTA,126512508,2.025,4498,2500,0,9108,9108,0,9108,9108,625042,625042,2980,0,PS,CLIENTE,VACUNO MOLIDA CORRIENTE 10 % MG,EXISTENCIA,VACUNO,MOLIDA CORRIENTE,CARNES,VACUNO MOLIDA,S,KG,NAC
63,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,FACT VENT ST ELEC,126392455,103.1,1121,300,0,115575,115575,0,115575,115575,115575,115575,1480,0,PS,CLIENTE,VACUNO HUESO PITO CAT V NAC,EXISTENCIA,VACUNO,HUESO,CARNES,PITO,S,KG,NAC
64,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,BOLETA VENTA FISCAL,126512509,0.805,4780,4017.391,0,3848,3234,614,3234,3234,16744,19926,3998,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA ESPECIAL,CARNES,VACUNO MOLIDA,S,KG,NAC
65,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,FACT VALE SALON ELEC,126512509,5,4780,2000,0,23900,20084,3816,20084,20084,117572,139911,3980,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA ESPECIAL,CARNES,VACUNO MOLIDA,S,KG,NAC
66,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,NOTA VENTA,126762576,5.025,4398,0,0,22100,22100,0,22100,22100,304819,304819,5980,4566,PS,CLIENTE,VACUNO POSTA ROSADA MOLIDO 5% MG,EXISTENCIA,VACUNO,POSTA ROSADA,CARNES,VACUNO POSTA ROSADA,S,KG,NAC
67,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,NOTA VENTA,126522511,37.79,5698,0,0,215327,215327,0,215327,215327,386945,386945,4580,0,PS,CLIENTE,VACUNO MOLLEJA CAT V ENTERO NAC,EXISTENCIA,VACUNO,MOJELLA,CARNES,ENTERO,S,KG,NAC
68,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,NOTA VENTA,126512509,5.06,4980,2000,0,25199,25199,0,25199,25199,759801,759801,4480,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA ESPECIAL,CARNES,VACUNO MOLIDA,S,KG,NAC
69,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,FACT VENT ST ELEC,122962318,14.81,1898,900,0,28109,28109,0,28109,28109,330035,330035,2980,0,PS,CLIENTE,POLLO TRUTRO ENTERO NAC,EXISTENCIA,POLLO,TRUTRO,CARNES,ENTERO,S,KG,NAC
70,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,BOLETA VENTA FISCAL,126512509,0.805,4780,4017.391,0,3848,3234,614,3234,3234,16744,19926,3998,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA ESPECIAL,CARNES,VACUNO MOLIDA,S,KG,NAC
71,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,AJUSTE T/INVENTARIO,126702531,40,3300,3300,0,132000,132000,0,132000,132000,259100,259100,3880,0,PS,CLIENTE,VACUNO PLATEADA CAT V  ENTERA NAC,EXISTENCIA,VACUNO,PLATEADA,CARNES,ENTERO,S,KG,NAC
72,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,NOTA VENTA,126762576,5.025,4398,0,0,22100,22100,0,22100,22100,304819,304819,5980,4566,PS,CLIENTE,VACUNO POSTA ROSADA MOLIDO 5% MG,EXISTENCIA,VACUNO,POSTA ROSADA,CARNES,VACUNO POSTA ROSADA,S,KG,NAC
73,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,FACT VALE SALON ELEC,126512509,5,4780,2000,0,23900,20084,3816,20084,20084,117572,139911,3980,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA ESPECIAL,CARNES,VACUNO MOLIDA,S,KG,NAC
74,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,NOTA VENTA,126512508,2.025,4498,2500,0,9108,9108,0,9108,9108,625042,625042,2980,0,PS,CLIENTE,VACUNO MOLIDA CORRIENTE 10 % MG,EXISTENCIA,VACUNO,MOLIDA CORRIENTE,CARNES,VACUNO MOLIDA,S,KG,NAC
75,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,NOTA VENTA,12662365,21.72,5980,0,0,129886,129886,0,129886,129886,304819,304819,5280,0,PS,CLIENTE,VACUNO ASIENTO CAT V ENTERO NAC,EXISTENCIA,VACUNO,ASIENTO,CARNES,ENTERO,S,KG,NAC
76,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,BOLETA VENTA FISCAL,126512509,0.805,4780,4017.391,0,3848,3234,614,3234,3234,16744,19926,3998,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA ESPECIAL,CARNES,VACUNO MOLIDA,S,KG,NAC
77,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,FACT VENT ST ELEC,122962318,14.81,1898,900,0,28109,28109,0,28109,28109,330035,330035,2980,0,PS,CLIENTE,POLLO TRUTRO ENTERO NAC,EXISTENCIA,POLLO,TRUTRO,CARNES,ENTERO,S,KG,NAC
78,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,NOTA VENTA,126762576,5.025,4398,0,0,22100,22100,0,22100,22100,304819,304819,5980,4566,PS,CLIENTE,VACUNO POSTA ROSADA MOLIDO 5% MG,EXISTENCIA,VACUNO,POSTA ROSADA,CARNES,VACUNO POSTA ROSADA,S,KG,NAC
79,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,BOLETA VENTA FISCAL,7.8029E+12,1,689,579,0,689,579,110,579,579,4051,4820,427.5,0,PS,PROVEEDOR,MANTEQUILLA 125GRS SOPROLE,EXISTENCIA,LACTEOS,MANTEQUILLA,ABARROTES,MANTEQUILLA,S,UN,SP
80,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,NOTA VENTA,126512509,5.06,4980,2000,0,25199,25199,0,25199,25199,759801,759801,4480,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA ESPECIAL,CARNES,VACUNO MOLIDA,S,KG,NAC
81,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,FACT VALE SALON ELEC,126512509,5,4780,2000,0,23900,20084,3816,20084,20084,117572,139911,3980,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA,CARNES,ESPECIAL,S,KG,NAC
82,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,BOLETA VENTA FISCAL,126512509,0.805,4780,4017.391,0,3848,3234,614,3234,3234,16744,19926,3998,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA ESPECIAL,CARNES,VACUNO MOLIDA,S,KG,NAC
83,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,AJUSTE T/INVENTARIO,126702531,40,3300,3300,0,132000,132000,0,132000,132000,259100,259100,3880,0,PS,CLIENTE,VACUNO PLATEADA CAT V  ENTERA NAC,EXISTENCIA,VACUNO,PLATEADA,CARNES,ENTERO,S,KG,NAC
84,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,NOTA VENTA,126762576,5.025,4398,0,0,22100,22100,0,22100,22100,304819,304819,4298,0,PS,CLIENTE,VACUNO POSTA ROSADA MOLIDO 5% MG,EXISTENCIA,VACUNO,POSTA ROSADA,CARNES,MOLIDA,S,KG,NAC
85,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,FACT VENT ST ELEC,122962318,14.81,1898,900,0,28109,28109,0,28109,28109,330035,330035,2980,0,PS,CLIENTE,POLLO TRUTRO ENTERO,EXISTENCIA,POLLO,TRUTRO ENTERO,CARNES,NAC,S,KG,NAC
